Latitude,Longitude,Sum_INCENDIE_count,Sum_Infractions_entrainant_count,Sum_ALARMES_INCENDIES_count,Sum_total_crimes,Population,Dwellings,Households,Average age,median income,sum_etage_hors_sol,sum_nombre_logement,avg_annee_construction,sum_superficie_terrain,sum_superficie_batiment
45.66,-73.49,3,0,25,73,487,212,210,47.9,36800,490,542,1976.853933,178758,63592
45.66,-73.5,11,0,72,194,1090,395,388,39.9,34048,1953,1624,1976.802276,557374,231982
45.66,-73.51,3,0,110,266,448,168,167,41.7,36224,1207,1044,1984.169195,494180,279413
45.66,-73.52,2,0,19,15,702,162,158,56.7,42304,75,61,1985.77551,169581,32493
45.66,-73.53,3,0,35,15,1626,590,586,35.6,44343,4,0,1987.285714,140866,6359
45.66,-73.54,0,0,20,90,1371,294,289,35,39552,97,84,1979.511628,342033,40019
45.66,-73.55,0,0,56,160,1371,294,289,35,39552,2411,1286,1998.737174,422233,789533
45.66,-73.56,11,0,71,135,1392,471,467,34.9,37744,1843,1168,1991.224453,424945,164140
45.66,-73.57,9,0,43,119,839,367,357,43.5,29184,917,899,1981.791536,282547,250226
45.66,-73.58,1,0,9,7,,,,,,243,172,1985.175182,55170,15972
45.67,-73.49,2,0,48,73,,,,,,329,890,1977.562771,131385,46975
45.67,-73.5,11,0,81,302,505,285,273,43.2,27776,1706,2237,1969.399127,518847,182697
45.67,-73.51,9,0,114,155,720,345,343,47.3,29248,459,576,1981.962264,338851,52183
45.67,-73.52,1,0,3,8,1626,590,586,35.6,44343,85,83,1975.471429,44515,8443
45.67,-73.53,4,0,4,15,1626,590,586,35.6,44343,298,225,2010.677725,56819,2934
45.67,-73.54,4,0,30,48,635,205,203,38.6,33152,808,513,1993.247967,273281,39502
45.67,-73.55,4,0,28,79,453,158,154,43.1,33856,874,607,1994.664671,196023,239448
45.67,-73.56,0,0,1,7,,,,,,136,72,1993.898551,30902,6851
45.68,-73.49,1,0,11,51,,,,,,677,493,1987.360849,155054,45508
45.68,-73.5,7,0,40,163,821,422,386,37.5,36160,1377,898,1994.756098,465540,362871
45.68,-73.51,1,0,1,6,1350,519,518,38.5,46208,126,65,1997.661538,15483,23115
45.68,-73.54,0,0,0,22,,,,,,36,20,2009.1,8436,342
45.69,-73.48,0,0,3,32,,,,,,255,165,1985.879747,65433,18836
45.69,-73.49,5,0,46,166,677,290,286,40.4,34688,1754,1687,1990.051636,493065,933935
45.69,-73.5,6,0,28,35,1350,519,518,38.5,46208,254,285,1999.281967,75473,59941
45.69,-73.51,0,0,27,0,1350,519,518,38.5,46208,,,,,
45.7,-73.48,3,0,19,72,657,271,262,46.1,42752,480,421,1975.681388,173165,155992
45.7,-73.49,5,0,40,75,645,255,249,41.3,33920,933,805,1997.866756,177975,75296
45.7,-73.5,0,0,0,21,645,255,249,41.3,33920,99,80,1966.561644,47750,8431
45.7,-73.51,0,0,0,1,,,,,,,,,,
