Latitude,Longitude,Sum_INCENDIE_count,Sum_Infractions_entrainant_count,Sum_ALARMES_INCENDIES_count,Sum_total_crimes,Population,Dwellings,Households,Average age,median income,sum_etage_hors_sol,sum_nombre_logement,avg_annee_construction,sum_superficie_terrain,sum_superficie_batiment
45.45,-73.94,0,0,0,2,,,,,,30,26,1952.16,24454,3142
45.46,-73.54,10,0,168,108,1764,1070,1006,45.2,37728,1644,1438,1985.711768,168493,859884
45.46,-73.55,14,1,195,252,1101,444,441,38.3,43008,1834,1346,1991.920601,293375,7606258
45.46,-73.56,18,0,148,297,,,,,,1646,2033,1978.64687,182179,1950768
45.46,-73.57,58,0,272,896,514,310,290,35.7,25728,5022,7468,1943.933419,560309,832153
45.46,-73.58,35,0,173,436,,,,,,2590,3679,1962.622135,419238,1136364
45.46,-73.59,40,0,204,540,575,309,294,44.1,32448,3280,4096,1948.527717,469324,543936
45.46,-73.6,24,0,167,386,383,174,171,42.2,28256,2167,2714,1954.546598,319016,287920
45.46,-73.61,27,0,47,35,5,6,5,,,12,0,1963.571429,141316,27966
45.46,-73.62,10,1,80,204,5,6,5,,,282,778,1961.466667,168407,75794
45.46,-73.63,19,2,352,410,396,225,209,39,22976,1458,4388,1977.310982,552795,409124
45.46,-73.64,10,0,236,278,470,187,180,42.2,42752,1931,2097,1948.687739,431909,229864
45.46,-73.65,15,0,128,200,654,274,253,39.3,30784,2507,2372,1950.916608,518919,225577
45.46,-73.66,31,1,272,267,589,396,280,41.5,19904,1918,4049,1971.417203,478547,3052749
45.46,-73.67,12,0,136,128,584,203,195,39.5,33376,1514,1266,1958.082205,467652,185159
45.46,-73.68,1,0,28,11,461,167,158,41.5,40576,372,270,1960.569853,124263,42145
45.46,-73.7,5,0,47,41,549,277,237,34.5,21611,18,0,1986.608696,438988,62451
45.46,-73.71,0,0,45,42,549,277,237,34.5,21611,19,0,1987.148148,551969,132868
45.46,-73.72,5,0,64,153,549,277,237,34.5,21611,52,0,1975.440678,619336,166052
45.46,-73.73,5,0,45,126,511,215,209,41.2,36832,44,1,1969,368741,91086
45.46,-73.75,2,0,32,168,511,215,209,41.2,36832,7,0,2009,8788,
45.46,-73.76,0,0,14,5,511,215,209,41.2,36832,3,2,1983.333333,40830,3197
45.46,-73.77,1,0,4,9,579,242,237,40.5,35520,144,135,1961.343284,71101,13600
45.46,-73.78,2,0,4,35,579,242,237,40.5,35520,483,419,1967.501684,193851,48926
45.46,-73.79,4,0,28,105,448,160,157,39.4,48064,1315,800,1967.062112,560708,113878
45.46,-73.8,2,0,19,50,609,232,223,42.6,41344,1160,714,1970.210894,549457,121520
45.46,-73.81,2,0,44,61,543,180,179,39,46528,1448,834,1962.63602,655954,145221
45.46,-73.82,4,0,125,157,532,210,208,42.1,36011,804,843,1976.6875,545797,142907
45.46,-73.83,4,1,126,443,1630,358,349,66.9,39509,407,261,2008.629496,642845,209498
45.46,-73.84,1,0,63,65,931,344,343,40.2,32384,774,416,1985.414692,249211,64227
45.46,-73.85,4,0,22,44,775,232,230,40,39424,1038,519,1990.275862,499850,144222
45.46,-73.86,2,0,44,96,519,176,174,42.7,37973,1126,635,1983.167449,519958,152120
45.46,-73.87,3,0,27,91,555,188,188,41.5,32704,1256,775,1978.671285,551259,110084
45.46,-73.88,5,0,39,68,622,221,218,42.9,31296,1474,1094,1979.042194,534546,135418
45.46,-73.89,3,0,55,116,464,191,189,33.2,33280,2081,1416,1994.69991,601464,183955
45.46,-73.9,7,0,49,26,3566,1181,1142,35.2,40320,816,656,2002.068075,266215,36648
45.46,-73.91,0,0,19,17,3566,1181,1142,35.2,40320,379,228,2003.831818,136542,9876
45.46,-73.92,2,0,4,31,3566,1181,1142,35.2,40320,115,95,1975.174603,159035,6449
45.46,-73.93,0,0,2,11,968,430,380,42.5,33280,16,12,1936.6,27656,984
45.46,-73.94,0,0,15,4,968,430,380,42.5,33280,1,1,1953,1243,109
45.47,-73.53,1,0,9,0,,,,,,19,9,1999.5,22065,1736
45.47,-73.54,5,0,223,107,2392,1104,1012,43.6,52224,1935,1660,2005.434487,304813,401046
45.47,-73.55,1,0,57,56,,,,,,875,880,1999.285901,188379,151144
45.47,-73.56,8,0,77,168,989,341,315,57.9,25024,618,1152,1950.526786,134077,93594
45.47,-73.57,30,0,251,545,505,301,284,36.2,27200,3161,4142,1955.598375,354194,1146338
45.47,-73.58,17,0,108,231,751,397,341,38.5,26624,1009,1063,1991.653797,296011,229367
45.47,-73.59,27,0,156,403,1477,892,834,38.4,30208,2488,3574,1959.61454,386256,600247
45.47,-73.6,5,0,224,235,5,6,5,,,271,317,1929.527559,136682,98827
45.47,-73.61,32,0,239,519,1106,574,531,39.1,20448,2722,4125,1949.311927,359685,1094259
45.47,-73.62,22,0,317,456,640,311,298,38,43648,3628,4038,1935.346594,558303,1175477
45.47,-73.63,9,0,286,275,623,352,324,40.9,41408,3016,3509,1952.044505,510600,1787123
45.47,-73.64,28,0,299,398,624,305,283,41,26432,2411,3692,1955.878833,516615,1961664
45.47,-73.65,38,1,340,275,576,252,241,38.2,23360,2155,3705,1962.557457,544909,454541
45.47,-73.66,11,1,92,155,481,143,142,38.8,49280,2081,1926,1973.885856,505092,782142
45.47,-73.67,4,0,111,65,952,293,265,60.8,22080,1127,1143,1975.865762,474093,188199
45.47,-73.69,0,0,0,3,,,,,,8,0,1971.125,85342,30121
45.47,-73.7,4,0,88,34,535,242,228,39.1,43072,45,0,1969.333333,571879,220427
45.47,-73.71,5,0,66,128,549,277,237,34.5,21611,25,0,1980.461538,400118,133350
45.47,-73.72,0,0,10,26,511,215,209,41.2,36832,17,0,1987.266667,235370,44550
45.47,-73.73,1,0,11,2,511,215,209,41.2,36832,,,,,
45.47,-73.74,1,0,10,0,535,242,228,39.1,43072,,,,,
45.47,-73.78,2,0,19,38,579,242,237,40.5,35520,14,1,1989.142857,254477,37206
45.47,-73.79,4,0,45,15,1470,551,534,55.5,37299,42,7,1991.735294,531703,128162
45.47,-73.8,7,0,125,64,1470,551,534,55.5,37299,799,428,1988.03212,695548,178958
45.47,-73.81,4,0,84,126,1470,551,534,55.5,37299,270,359,1994.35,576303,136630
45.47,-73.82,6,0,51,159,1470,551,534,55.5,37299,69,15,1975.232143,677434,107803
45.47,-73.83,10,0,148,166,1470,551,534,55.5,37299,409,320,1969.146953,532287,96089
45.47,-73.84,3,0,34,105,526,183,182,43.7,33536,1813,1091,1982.702411,520232,141815
45.47,-73.85,2,0,31,53,477,168,165,42.8,35776,1551,874,1974.377854,523370,150413
45.47,-73.86,3,0,29,67,457,153,152,40.9,40576,1467,954,1977.238494,610156,154404
45.47,-73.87,13,0,65,181,758,238,235,38.7,31424,1331,1286,1986.052922,469765,135644
45.47,-73.88,6,0,114,82,551,187,186,38.2,34944,1292,1272,1985.72979,433661,319394
45.47,-73.89,2,0,9,27,,,,,,450,332,1977.467626,346974,40950
45.47,-73.9,0,0,1,0,979,412,396,44.7,35648,31,22,1974.1,30168,2470
45.47,-73.94,0,0,15,0,,,,,,,,,,
45.48,-73.54,1,0,15,2,600,325,311,33.8,29920,7,0,1997.75,123829,
45.48,-73.55,9,0,93,92,600,325,311,33.8,29920,606,817,1949.014006,156847,180548
45.48,-73.56,35,1,300,541,669,318,293,37,29568,3463,3975,1937.110617,400685,369185
45.48,-73.57,25,0,259,540,549,311,290,38.9,20224,2645,3269,1970.801451,375441,8012349
45.48,-73.58,44,1,397,880,475,330,297,37.2,31424,2487,3546,1950.90046,334458,523036
45.48,-73.59,29,0,447,648,674,368,345,36.4,30336,2566,4532,1934.21367,445543,946258
45.48,-73.6,23,0,362,449,646,303,280,42.6,53888,2555,2725,1929.92252,422489,1308395
45.48,-73.61,16,0,303,306,378,138,130,42.6,57984,2807,2272,1922.289132,572421,436557
45.48,-73.62,24,1,342,407,1251,473,436,56.9,43680,2351,3966,1935.57873,476667,699927
45.48,-73.63,26,0,418,493,509,307,258,36.4,24768,2796,5022,1942.549045,577582,4984960
45.48,-73.64,12,0,172,184,492,154,145,39.3,56224,1655,2044,1950.221968,556683,296070
45.48,-73.65,2,0,89,110,530,174,169,42.6,64128,1623,949,1966.753157,526157,245304
45.48,-73.66,9,0,244,145,303,188,181,70.3,56320,1433,2476,1987.505576,993566,675316
45.48,-73.67,10,0,148,64,618,383,369,63.9,36864,1599,2028,1987.706026,357212,764406
45.48,-73.69,3,0,70,200,535,242,228,39.1,43072,24,0,1981.705882,220927,82211
45.48,-73.7,3,0,30,355,535,242,228,39.1,43072,54,0,1978.101449,612912,183029
45.48,-73.71,2,0,29,45,535,242,228,39.1,43072,35,0,1970.852941,375129,109391
45.48,-73.72,2,0,19,35,511,215,209,41.2,36832,15,0,1973.266667,224692,29116
45.48,-73.73,2,0,10,0,535,242,228,39.1,43072,5,0,1989.8,162306,1464
45.48,-73.74,0,0,20,15,535,242,228,39.1,43072,7,0,1982.714286,141856,16244
45.48,-73.75,0,0,9,5,1049,362,354,34.1,50560,13,2,1964.307692,139621,19099
45.48,-73.76,0,1,13,7,1049,362,354,34.1,50560,31,0,2003.076923,350858,17875
45.48,-73.77,1,0,50,19,535,242,228,39.1,43072,13,0,1992.235294,324344,65659
45.48,-73.78,4,0,74,109,579,242,237,40.5,35520,39,0,1976.666667,451929,129719
45.48,-73.79,7,0,132,336,579,242,237,40.5,35520,36,3,1984.897959,447159,71820
45.48,-73.8,3,0,91,241,1470,551,534,55.5,37299,34,0,1983.34375,496263,149308
45.48,-73.81,1,0,25,48,732,110,106,63.4,47232,247,115,1988.631206,494642,130103
45.48,-73.82,5,0,92,72,515,184,184,43.4,40192,1075,746,1979.616438,572684,199859
45.48,-73.83,8,0,45,85,440,134,132,36.2,31808,1606,995,1982.795238,484278,209060
45.48,-73.84,6,0,155,155,1107,557,531,41.8,31104,2803,2555,1988.510027,660236,309479
45.48,-73.85,4,0,49,72,427,145,144,39.8,38272,1372,1087,1968.331834,603412,139997
45.48,-73.86,4,0,36,109,450,156,154,41.3,34016,1144,1097,1968.912654,553250,101900
45.48,-73.87,13,0,103,135,807,421,394,59.3,26688,695,945,1956.069042,441297,109445
45.48,-73.88,1,0,11,19,,,,,,343,343,1970.850365,213194,33297
45.48,-73.89,4,0,0,4,1114,419,402,36.9,39488,160,138,1977.535433,345406,15116
45.48,-73.9,0,0,1,2,1114,419,402,36.9,39488,27,28,1963.04,36455,2739
45.48,-73.91,0,0,3,1,1114,419,402,36.9,39488,11,12,1956.444444,1732953,11873
45.48,-73.92,0,0,3,19,1114,419,402,36.9,39488,20,14,1974.857143,247274,3486
45.48,-73.93,1,0,6,7,506,297,254,48,33280,14,11,1944.75,247407,1045
45.48,-73.94,1,0,7,0,,,,,,35,24,1963.416667,265530,5800
45.49,-73.54,0,0,15,17,,,,,,3,0,1966.666667,112703,28650
45.49,-73.55,3,0,95,58,0,0,0,,,17,0,1960.833333,202425,36681
45.49,-73.56,23,0,489,342,1469,1155,911,34.3,55893,4282,4774,2012.215104,287266,199041
45.49,-73.57,26,1,571,700,587,201,192,49.7,36800,3408,5206,1994.392126,412873,1278952
45.49,-73.58,74,4,1216,1537,902,598,504,38.9,19200,4726,11100,1975.49426,365650,1438342
45.49,-73.59,26,1,437,516,630,365,316,45,45312,2392,4016,1947.144495,473394,4977730
45.49,-73.6,10,0,237,147,654,232,216,42.9,80811,1749,1083,1927.865079,566516,1356804
45.49,-73.61,18,0,227,81,530,185,171,42.4,77568,1316,3519,1935.5664,492309,444582
45.49,-73.62,12,0,182,243,425,161,154,42.8,60544,1582,2039,1937.528994,557155,435561
45.49,-73.63,42,1,314,510,607,314,284,38.6,27413,2161,5130,1946.897179,499899,533655
45.49,-73.64,29,0,348,434,509,194,186,39.4,24992,2334,4747,1951.355518,507569,526277
45.49,-73.65,11,1,127,335,474,288,276,63,46976,1755,1622,1971.992844,414752,4466587
45.49,-73.66,2,0,79,23,2445,1348,1214,36.3,36075,76,20,1971.784314,233457,802416
45.49,-73.67,1,0,84,9,1056,531,486,37,37077,48,0,1964.926829,529013,212736
45.49,-73.68,3,0,72,52,1056,531,486,37,37077,38,0,1969.745098,599362,183676
45.49,-73.69,3,0,101,476,535,242,228,39.1,43072,37,0,1970.787879,648367,197376
45.49,-73.7,2,0,73,164,535,242,228,39.1,43072,23,169,1980.4375,297725,105184
45.49,-73.71,4,0,57,127,535,242,228,39.1,43072,50,0,1981.145833,574374,182104
45.49,-73.72,3,0,108,128,535,242,228,39.1,43072,45,1,1981.557692,509382,180093
45.49,-73.73,5,0,59,59,1049,362,354,34.1,50560,43,0,1984.122449,354601,138891
45.49,-73.74,3,0,44,73,1049,362,354,34.1,50560,60,0,1983.307692,457164,130055
45.49,-73.75,4,0,71,90,1049,362,354,34.1,50560,79,0,1979.287671,710144,219171
45.49,-73.76,2,0,34,64,1049,362,354,34.1,50560,33,1,1990.4,346602,54486
45.49,-73.77,0,0,61,57,579,242,237,40.5,35520,42,5,1985.678571,482660,127408
45.49,-73.78,7,0,64,152,705,219,217,44.1,31424,767,387,1983.669903,433046,120983
45.49,-73.79,15,0,104,172,1293,611,588,41,25856,1392,1333,1975.917706,531633,220284
45.49,-73.8,7,0,120,204,835,317,312,40,29312,1127,1285,1976.581132,650724,202252
45.49,-73.81,5,0,51,120,1016,370,356,44,43179,1210,1026,1992.761589,493444,620337
45.49,-73.82,4,0,48,68,457,152,151,41.5,38592,1147,688,1971.069767,423017,136623
45.49,-73.83,5,0,78,80,1357,376,374,36.7,39776,1672,885,1978.299887,559702,220587
45.49,-73.84,6,0,68,77,651,178,177,36,38080,1592,836,1987.446172,522090,216588
45.49,-73.85,9,1,145,134,696,466,454,50.8,19669,756,1130,1998.697832,358019,218314
45.49,-73.86,4,0,62,78,,,,,,440,885,1985.22905,319933,298702
45.49,-73.87,5,1,57,58,771,252,243,53,33408,983,845,1977.729773,380061,98775
45.49,-73.88,5,0,40,60,500,221,212,41,32896,930,833,1974.398764,493182,98038
45.49,-73.89,2,0,4,7,1114,419,402,36.9,39488,418,232,2002.478448,149759,8754
45.49,-73.9,0,0,0,1,,,,,,0,1,1900,179476,
45.49,-73.93,1,0,3,2,1114,419,402,36.9,39488,35,22,1968.863636,132482,4976
45.5,-73.52,0,0,16,21,0,0,0,,,,,,,
45.5,-73.53,0,0,17,0,,,,,,,,,,
45.5,-73.54,0,0,2,18,,,,,,186,335,1993.866337,54540,250709
45.5,-73.55,10,0,203,269,,,,,,848,921,1958.033333,81057,554592
45.5,-73.56,40,0,1231,1464,2002,1672,1290,37.6,58752,4380,4920,1975.327152,413431,2501617
